Date,Production & Import Tax (B),Corporate Income Tax (B),Personal Income Tax (B),Taxes from ROW (B),Total Tax Receipts (B),Sum Known Components,Other Taxes (B),Personal Income Tax (%),Corporate Income Tax (%),Production & Import Tax (%),Taxes from ROW (%),Other Taxes (%)
1947-01-01,1.852,10.876,18.192,1e-05,36.86,30.920009999999998,5.939990000000002,49.354313619099294,29.506239826370045,5.0244167118828,2.712967986977754e-05,16.11500271296799
1947-04-01,1.798,10.296,18.488,1e-05,36.316,30.58201,5.733990000000002,50.90869038440356,28.35113999339134,4.950985791386716,2.7536072254653597e-05,15.789156294746123
1947-07-01,1.902,10.144,18.704,1e-05,36.264,30.75001,5.513990000000003,51.5773218619016,27.972645047429957,5.2448709463931165,2.757555702625193e-05,15.205134568718295
1947-10-01,2.112,11.04,19.788,1e-05,38.744,32.94001,5.803989999999999,51.07371463968614,28.494734668593846,5.451166632252736,2.5810448069378484e-05,14.980358249019199
1948-01-01,1.843,11.352,20.06,1e-05,38.952,33.25501,5.6969899999999996,51.49928116656397,29.14356130622305,4.731464366399671,2.567262271513658e-05,14.625667488190594
1948-04-01,1.894,11.956,17.808,1e-05,37.684,31.658009999999997,6.02599,47.25612992251354,31.726992888228427,5.026005731875597,2.6536461097548033e-05,15.990844920921349
1948-07-01,2.01,11.728,17.1,1e-05,36.74,30.83801,5.901990000000001,46.54327708219924,31.921611322808925,5.470876428960261,2.7218290691344584e-05,16.064207947740886
1948-10-01,2.081,11.296,17.292,1e-05,36.528,30.66901,5.858989999999999,47.33902759526939,30.924222514235655,5.696999561979851,2.7376259307928168e-05,16.0397229522558
1949-01-01,1.854,10.18,16.472,1e-05,34.424,28.50601,5.91799,47.85033697420405,29.572391354868692,5.3857773646293285,2.904950034859401e-05,17.191465256797585
1949-04-01,1.923,8.944,15.648,1e-05,32.52,26.51501,6.004990000000003,48.1180811808118,27.503075030750306,5.913284132841328,3.0750307503075034e-05,18.465528905289062
1949-07-01,2.077,9.336,14.932,1e-05,32.324,26.34501,5.97899,46.1947778740255,28.882564039104075,6.425566142804108,3.0936765251825276e-05,18.497061007301077
1949-10-01,2.016,9.16,14.452,1e-05,31.336,25.62801,5.707989999999999,46.11947919326015,29.231554761296913,6.43349502170028,3.1912177687005363e-05,18.215439111564972
1950-01-01,1.877,12.856,15.156,1e-05,35.864,29.88901,5.974989999999998,42.259647557439216,35.846531340620125,5.233660495204105,2.788311398616998e-05,16.66013272362257
1950-04-01,2.065,15.408,16.12,1e-05,40.024,33.59301,6.430990000000001,40.27583449930042,38.49690185888467,5.159404357385569,2.4985008994603238e-05,16.06783429942035
1950-07-01,2.516,18.864,17.432,1e-05,46.116,38.81201,7.303989999999999,37.80032960360829,40.905542544886806,5.455807095151358,2.1684447913956113e-05,15.838299071905626
1950-10-01,2.276,20.704,21.02,1e-05,50.492,44.00001,6.491989999999994,41.63035728432227,41.00451556682247,4.5076447754099656,1.9805117642398797e-05,12.857462568327646
1951-01-01,2.363,25.02,22.78,1e-05,57.628,50.16301,7.46499,39.529395432775736,43.4163948080794,4.100437287429721,1.735267578260568e-05,12.953755119039357
1951-04-01,2.162,21.132,24.708,1e-05,54.644,48.002010000000006,6.641989999999993,45.216309201376184,38.672132347558744,3.9565185564746357,1.8300270844008494e-05,12.155021594319583
1951-07-01,2.25,19.1,26.096,1e-05,54.028,47.44601,6.581989999999998,48.30088102465388,35.35203968312727,4.164507292514992,1.8508921300066635e-05,12.182553490782553
1951-10-01,2.415,20.432,27.916,1e-05,57.644,50.76301,6.880989999999997,48.428283949760605,35.445146068975085,4.189508014710984,1.734785927416557e-05,11.937044618694049
1952-01-01,2.347,18.684,29.06,1e-05,57.484,50.091010000000004,7.3929899999999975,50.553197411453624,32.50295734465243,4.082875234847958,1.739614501426484e-05,12.860952612900977
1952-04-01,2.509,17.576,29.968,1e-05,57.676,50.05301,7.6229900000000015,51.959220472987035,30.47368056037173,4.350162979402177,1.7338234274221515e-05,13.21691864900479
1952-07-01,2.552,17.516,30.428,1e-05,58.076,50.496010000000005,7.579989999999995,52.39341552448516,30.160479371857562,4.3942420276878575,1.7218816722914803e-05,13.051845857152689
1952-10-01,2.713,19.348,31.212,1e-05,61.04,53.273010000000006,7.766989999999993,51.13368283093054,31.697247706422015,4.444626474442988,1.63826998689384e-05,12.724426605504574
1953-01-01,2.6,20.42,31.5,1e-05,62.704,54.520010000000006,8.183989999999994,50.2360295993876,32.565705537126824,4.146465935187548,1.594794590456749e-05,13.051782980352122
1953-04-01,2.71,20.508,31.516,1e-05,62.96,54.734010000000005,8.225989999999996,50.057179161372304,32.57306226175349,4.304320203303685,1.588310038119441e-05,13.065422490470132
1953-07-01,2.713,20.032,31.236,1e-05,62.0,53.981010000000005,8.018989999999995,50.380645161290325,32.309677419354834,4.375806451612903,1.6129032258064517e-05,12.933854838709669
1953-10-01,2.684,15.58,30.972,1e-05,56.928,49.23601,7.691989999999997,54.40556492411468,27.367903316469928,4.714727374929736,1.7566048341765037e-05,13.511786818437319
1954-01-01,2.37,15.376,28.14,1e-05,53.236,45.88601,7.349989999999998,52.85896761589902,28.88271094747915,4.451874671275077,1.8784281313396953e-05,13.806427981065442
1954-04-01,2.392,15.872,27.888,1e-05,53.36,46.15201000000001,7.207989999999988,52.263868065967024,29.74512743628186,4.482758620689655,1.8740629685157423e-05,13.50822713643176
1954-07-01,2.295,16.872,27.896,1e-05,54.012,47.063010000000006,6.948989999999995,51.64778197437606,31.237502777160632,4.24905576538547,1.8514404206472637e-05,12.86564096867362
1954-10-01,2.45,18.18,28.348,1e-05,55.992,48.978010000000005,7.013989999999993,50.62866123731962,32.46892413201886,4.375625089298472,1.7859694242034577e-05,12.526771681668796
