date,tax_revenue,gdp,cpi,exports,imports
1947-01-01,36.86,243.164,21.7,18.394,7.519
1947-04-01,36.316,245.968,22.01,19.497,8.203
1947-07-01,36.264,249.585,22.49,19.433,7.663
1947-10-01,38.744,259.745,23.126666666666665,17.636,8.347
1948-01-01,38.952,265.742,23.616666666666664,16.917,9.624
1948-04-01,37.684,272.567,23.993333333333336,15.241,10.036
1948-07-01,36.74,279.196,24.396666666666665,15.405,10.456
1948-10-01,36.528,280.366,24.173333333333332,14.625,10.124
1949-01-01,34.424,275.034,23.94333333333333,16.082,9.604
1949-04-01,32.52,271.351,23.916666666666668,15.647,9.364
1949-07-01,32.324,272.889,23.71666666666667,14.115,8.936
1949-10-01,31.336,270.627,23.66,12.091,9.092
1950-01-01,35.864,280.828,23.58666666666667,11.704,9.501
1950-04-01,40.024,290.383,23.766666666666666,11.872,10.229
1950-07-01,46.116,308.153,24.203333333333333,12.293,13.033
1950-10-01,50.492,319.945,24.69333333333333,13.531,13.685
1951-01-01,57.628,336.0,25.69666666666667,15.043,14.866
1951-04-01,54.644,344.09,25.94666666666667,17.121,15.178
1951-07-01,54.028,351.385,25.933333333333334,18.052,14.31
1951-10-01,57.644,356.178,26.316666666666666,18.18,13.99
1952-01-01,57.484,359.82,26.416666666666668,18.679,14.958
1952-04-01,57.676,361.03,26.486666666666668,16.581,14.63
1952-07-01,58.076,367.701,26.666666666666668,15.246,15.25
1952-10-01,61.04,380.812,26.69666666666667,15.329,16.342
1953-01-01,62.704,387.98,26.62,15.128,15.795
1953-04-01,62.96,391.749,26.72,15.196,16.447
1953-07-01,62.0,391.171,26.843333333333334,15.755,16.307
1953-10-01,56.928,385.97,26.89,15.172,15.507
1954-01-01,53.236,385.345,26.953333333333333,14.424,14.78
1954-04-01,53.36,386.121,26.91,16.438,16.184
1954-07-01,54.012,390.996,26.84,15.878,15.304
1954-10-01,55.992,399.734,26.756666666666664,16.605,15.46
1955-01-01,59.228,413.073,26.793333333333333,17.273,16.169
1955-04-01,61.024,421.532,26.756666666666664,16.942,17.097
1955-07-01,62.492,430.221,26.776666666666667,18.145,17.421
1955-10-01,64.132,437.092,26.856666666666666,18.349,18.109
1956-01-01,63.936,439.746,26.86,19.365,18.925
1956-04-01,65.176,446.01,27.036666666666665,20.882,18.973
1956-07-01,64.956,451.191,27.316666666666666,21.822,19.253
1956-10-01,67.636,460.463,27.55,23.068,18.541
1957-01-01,68.528,469.779,27.776666666666667,24.919,20.1
1957-04-01,67.94,472.025,28.013333333333332,24.369,20.27
1957-07-01,67.792,479.49,28.263333333333335,23.759,19.762
1957-10-01,65.16,474.864,28.400000000000002,23.022,19.634
1958-01-01,61.632,467.54,28.736666666666668,20.534,19.455
1958-04-01,61.632,471.978,28.930000000000003,20.546,20.075
1958-07-01,64.8,485.841,28.913333333333338,20.595,19.739
1958-10-01,68.412,499.555,28.94333333333333,20.563,20.823
1959-01-01,70.632,510.33,28.993333333333336,21.915,21.396
1959-04-01,74.056,522.653,29.043333333333333,21.776,22.544
1959-07-01,72.152,525.034,29.19333333333333,24.079,22.868
1959-10-01,72.496,528.6,29.37,23.131,22.504
1960-01-01,77.184,542.648,29.396666666666665,26.145,23.288
1960-04-01,75.816,541.08,29.573333333333334,26.85,23.455
1960-07-01,75.24,545.604,29.59,27.561,22.879
1960-10-01,73.98,540.197,29.78,27.622,21.742
